评论内容,分词结果
回复 :海猫有一整个ep是完全展示的真理亚与楼座的生活以及赋予真理亚为什么要实现魔法的动机 她在盒内的一切经历基本都可以对应这部电影在船上的经历楼座的家暴在她眼里是黑魔法贝阿朵莉切的戏法在她眼里的魔法狮子玩偶三只兔子玩偶在她的幻想中是使魔这个对应关系我觉得处理的比这部电影要好太多太多 海猫在战人与贝阿朵的视角来看可以说是推理剧但在真理亚的视角来看她的线就是加深让观众选择这是魔法的动力她的故事基本与推理毫不相关纯粹就是一个比这个电影表达的还要更好的同类故事 这个电影最后还是有那么一点积极因素的但海猫的最后如果认为是戏法那就是完全的虚无主义悲剧就像是这个电影的女主用幻想的旅程掩盖自己的痛苦海猫更是把这种掩盖的表现做得几倍之好,回复 : 海猫 有 一 整个 ep 是 完全 展示 的 真理 亚 与 楼座 的 生活 以及 赋予 真理 亚 为什么 要 实现 魔法 的 动机 她 在 盒内 的 一切 经历 基本 都 可以 对应 这部 电影 在 船上 的 经历 楼座 的 家暴 在 她 眼里 是 黑魔法 贝阿朵莉切 的 戏法 在 她 眼里 的 魔法 狮子 玩偶 三只 兔子 玩偶 在 她 的 幻想 中是 使 魔 这个 对应 关系 我 觉得 处理 的 比 这部 电影 要 好 太多太多 海猫 在 战人 与 贝阿朵 的 视角 来看 可以 说 是 推理 剧 但 在 真理 亚 的 视角 来看 她 的 线 就是 加深 让 观众 选择 这是 魔法 的 动力 她 的 故事 基本 与 推理 毫不相关 纯粹 就是 一个 比 这个 电影 表达 的 还要 更好 的 同类 故事 这个 电影 最后 还是 有 那么 一点 积极因素 的 但 海猫 的 最后 如果 认为 是 戏法 那 就是 完全 的 虚无主义 悲剧 就 像是 这个 电影 的 女主用 幻想 的 旅程 掩盖 自己 的 痛苦 海猫 更是 把 这种 掩盖 的 表现 做 得 几倍 之好
回复 :你说你联想到了海猫里的角色的情绪是不是你看的时候是不是联想到了情绪,回复 : 你 说 你 联想 到 了 海猫 里 的 角色 的 情绪 是不是 你 看 的 时候 是不是 联想 到 了 情绪
回复 :怪不得导演后面让观众醒导演从头到尾全算到了深海就是观众的一场梦深海把梦境体验通过动画表现出来了并且深海这个动画能够牵动观众的情绪你知道这种表现方式有多牛B吗它相当于把一个2纬动画升级到了3纬是纬度的跨越我愿称之为动画里的VR,回复 : 怪不得 导演 后面 让 观众 醒 导演 从头到尾 全算到 了 深海 就是 观众 的 一场 梦 深海 把 梦境 体验 通过 动画 表现 出来 了 并且 深海 这个 动画 能够 牵动 观众 的 情绪 你 知道 这种 表现 方式 有 多 牛 B 吗 它 相当于 把 一个 2 纬 动画 升级 到 了 3 纬 是 纬度 的 跨越 我愿 称之为 动画 里 的 VR
回复 :有些人一直在说剧情弱我也明白我也明白为什么了我觉得我应该是已经理解导演了在意剧情的人是没办法去感受这个动画的因为他们只停留在了2维感受不到动画3维带来的情绪至于原因我估计是因为他们先入为主先带着第三人称视角用审视的眼光去看深海就如果那些无法理解别人情绪的人一样,回复 : 有些 人 一直 在 说 剧情 弱 我 也 明白 我 也 明白 为什么 了 我 觉得 我 应该 是 已经 理解 导演 了 在意 剧情 的 人 是 没 办法 去 感受 这个 动画 的 因为 他们 只 停留 在 了 2 维 感受 不到 动画 3 维 带来 的 情绪 至于 原因 我 估计 是因为 他们 先入为主 先带 着 第三人称 视角 用 审视 的 眼光 去 看 深海 就 如果 那些 无法 理解 别人 情绪 的 人 一样
回复 :深海里有多处让我代入的地方所以导致我链接特别深这个就是共情所以对这个动画观感好喜欢的人都是从这个动画里看到了自己可能是某一个场面比如10086发的生日短信周围人的不理解只要有某些地方让人代入自己想到了自己那这个人和动画的情绪链接就完成了接下来就是保持链接去感受体验电影画面传达的情绪,回复 : 深海 里 有 多处 让 我 代入 的 地方 所以 导致 我 链接 特别 深 这个 就是 共情 所以 对 这个 动画 观感 好 喜欢 的 人 都 是从 这个 动画 里 看到 了 自己 可能 是 某 一个 场面 比如 10086 发 的 生日 短信 周围 人 的 不 理解 只要 有 某些 地方 让 人 代入 自己 想到 了 自己 那 这个 人 和 动画 的 情绪 链接 就 完成 了 接下来 就是 保持 链接 去 感受 体验 电影 画面 传达 的 情绪
回复 :我敢说你代入的情绪是你以前看海猫时候的情绪所以导致你的情绪链接没有和动画链接好错位了所以你就一直在回顾看海猫时候的感情导致你的体验差并且看到剧情以后观感也不好是不是,回复 : 我敢 说 你 代入 的 情绪 是 你 以前 看海猫 时候 的 情绪 所以 导致 你 的 情绪 链接 没有 和 动画 链接 好 错位 了 所以 你 就 一直 在 回顾 看海猫 时候 的 感情 导致 你 的 体验 差 并且 看到 剧情 以后 观感 也 不好 是不是
回复 :说实话我从头到尾情绪链接以后根本我就没有在意所谓剧情给我留下最多的都是情绪但是有些人上来就提剧情不行很明显你们的情绪连接没有到位没有充分感受电影带给你的情绪这个电影是可以通过画面牵动观众情绪的,回复 : 说实话 我 从头到尾 情绪 链接 以后 根本 我 就 没有 在意 所谓 剧情 给 我 留下 最多 的 都 是 情绪 但是 有些 人 上来 就 提 剧情 不行 很 明显 你们 的 情绪 连接 没有 到位 没有 充分 感受 电影 带给 你 的 情绪 这个 电影 是 可以 通过 画面 牵动 观众 情绪 的
怪不得导演一直在说用情绪推进画面,怪不得 导演 一直 在 说 用 情绪 推进 画面
我觉得无论这个动画是褒是贬导演的尝试都成功了只不过可能没把握好力度所以导演说下一次会温柔一点我觉得我应该是理解了,我 觉得 无论 这个 动画 是 褒 是 贬 导演 的 尝试 都 成功 了 只不过 可能 没把握 好 力度 所以 导演 说 下 一次 会 温柔 一点 我 觉得 我 应该 是 理解 了
回复 :共情是需要足够的动机和人物塑造的如果你能跟一个基本毫无塑造缺少动机只在最后用揭秘叙诡方式强行说了人物状态的人共情那我只能说你太容易被调动情绪了 真理亚和她的家族在海猫的故事里有一百万字的文本进行塑造这就是能让任何读者都共情的东西你做个电影搞两个小时的奇观这就是无法让人理解的 强调什么情绪是没有意义的好的故事才能调动所有人的情绪普通的故事只能让接触比较少的人觉得感动你频繁的接触创作者用更好的技巧这里说的不仅是作为视觉小说的海猫还有其他的电影和名著那你鉴赏情绪调动的能力下限就是会被抬高的 事实就是这个电影太多的奇观冲淡了很多人的共情我知道这是一个小朋友找妈妈的故事但整个故事给她的找妈妈的动机到底是什么她与妈妈的日常生活是什么样的她眼里的母亲除了一个不可名状的多肢生物之外还是什么她现在的家庭除了冷暴力还有什么乃至于这个小丑为什么会有复杂的人性 这些我理解你作为一个电影篇幅所限不能完全覆盖但海猫作为视觉小说这些动机与铺垫是非常完整的 难道你要说用魔法掩盖痛苦生活的真理亚能保护女儿也会家暴的楼座母亲关心家人的战人希望每个人都幸福又有些扭曲的贝阿朵莉切这些人用百万字的塑造他们的情绪调动能力会不如一个大部分时间被视觉奇观覆盖的电影吗 虽然我一直在说电影的篇幅但这个电影我感觉也没有很好利用这个篇幅,回复 : 共情 是 需要 足够 的 动机 和 人物 塑造 的 如果 你 能 跟 一个 基本 毫无 塑造 缺少 动机 只 在 最后 用 揭秘 叙 诡 方式 强行 说 了 人物 状态 的 人共情 那 我 只能 说 你 太 容易 被 调动 情绪 了 真理 亚 和 她 的 家族 在 海猫 的 故事 里 有 一百万 字 的 文本 进行 塑造 这 就是 能 让 任何 读者 都 共情 的 东西 你 做 个 电影 搞 两个 小时 的 奇观 这 就是 无法 让 人 理解 的 强调 什么 情绪 是 没有 意义 的 好 的 故事 才能 调动 所有人 的 情绪 普通 的 故事 只能 让 接触 比较 少 的 人 觉得 感动 你 频繁 的 接触 创作者 用 更好 的 技巧 这里 说 的 不仅 是 作为 视觉 小说 的 海猫 还有 其他 的 电影 和 名著 那 你 鉴赏 情绪 调动 的 能力 下限 就是 会 被 抬高 的 事实 就是 这个 电影 太多 的 奇观 冲淡 了 很多 人 的 共情 我 知道 这是 一个 小朋友 找 妈妈 的 故事 但 整个 故事 给 她 的 找 妈妈 的 动机 到底 是 什么 她 与 妈妈 的 日常生活 是 什么样 的 她 眼里 的 母亲 除了 一个 不可名状 的 多肢 生物 之外 还是 什么 她 现在 的 家庭 除了 冷暴力 还有 什么 乃至于 这个 小丑 为什么 会 有 复杂 的 人性 这些 我 理解 你 作为 一个 电影 篇幅 所 限 不能 完全 覆盖 但海猫 作为 视觉 小说 这些 动机 与 铺垫 是 非常 完整 的 难道 你 要说 用 魔法 掩盖 痛苦 生活 的 真理 亚能 保护 女儿 也 会 家暴 的 楼座 母亲 关心 家人 的 战人 希望 每个 人 都 幸福 又 有些 扭曲 的 贝阿朵莉切 这些 人用 百万 字 的 塑造 他们 的 情绪 调动 能力 会 不如 一个 大部分 时间 被 视觉 奇观 覆盖 的 电影 吗 虽然 我 一直 在 说 电影 的 篇幅 但 这个 电影 我 感觉 也 没有 很 好 利用 这个 篇幅
回复 :就说一个很简单的逻辑喜欢这个电影的人去玩海猫玩到ep4的时候能被真理亚调动的情绪我觉得肯定是比这个电影调动的要更好 读者需要有完善的动机去相信这个故事的真实性如果连这点都只强调奇观与共情我们怎么分辨创作者作品的好坏呢,回复 : 就 说 一个 很 简单 的 逻辑 喜欢 这个 电影 的 人 去 玩海猫 玩 到 ep4 的 时候 能 被 真理 亚 调动 的 情绪 我 觉得 肯定 是 比 这个 电影 调动 的 要 更好 读者 需要 有 完善 的 动机 去 相信 这个 故事 的 真实性 如果 连 这点 都 只 强调 奇观 与 共情 我们 怎么 分辨 创作者 作品 的 好坏 呢
回复 :深海讲的不是参宿如何渴望母亲的爱而是如何放下过去对母亲的执着讲的是分离啊宝贝,回复 : 深海 讲 的 不是 参宿 如何 渴望 母亲 的 爱 而是 如何 放下 过去 对 母亲 的 执着 讲 的 是 分离 啊 宝贝
回复 : 你玩过海猫吗...它最后的虚无主义可不单单是讲追求还是放下的问题 现在很显然我说的是这个电影用幻想来覆盖小女孩现实的表现方式和真理亚的那个故事几乎是一样的 不管你还是别人嘴上说的都是寻找亲情或者放下亲情我根本不管它到底要表达什么因为你希望表达的核心是需要故事内容去铺垫的你要表达女主角要追求母爱那你先给我看看她原生家庭有什么好的地方或者给我看不好的地方来衬托也行你要表达最后女主角是要放下亲情那就也得仔细跟我讲讲她的心理变化她所遭遇到的不幸 你就用视觉奇观表达这种表达方式的效率连视觉小说的传达效率也比不了再谈什么核心之类的东西纯粹是把观众当小丑你说讲分离我还说这电影讲的是新怪谈呢那确实是可以神神叨叨不需要任何情感铺垫的,回复 : 你 玩 过海猫 吗 ... 它 最后 的 虚无主义 可 不单单是 讲 追求 还是 放下 的 问题 现在 很 显然 我 说 的 是 这个 电影 用 幻想 来 覆盖 小女孩 现实 的 表现 方式 和 真理 亚 的 那个 故事 几乎 是 一样 的 不管 你 还是 别人 嘴上 说 的 都 是 寻找 亲情 或者 放下 亲情 我 根本 不管 它 到底 要 表达 什么 因为 你 希望 表达 的 核心 是 需要 故事 内容 去 铺垫 的 你 要 表达 女主角 要 追求 母爱 那 你 先 给 我 看看 她 原生 家庭 有 什么 好 的 地方 或者 给 我 看 不好 的 地方 来 衬托 也 行 你 要 表达 最后 女主角 是 要 放下 亲情 那 就 也 得 仔细 跟 我 讲讲 她 的 心理 变化 她 所 遭遇 到 的 不幸 你 就 用 视觉 奇观 表达 这种 表达方式 的 效率 连 视觉 小说 的 传达 效率 也 比 不了 再谈 什么 核心 之类 的 东西 纯粹 是 把 观众 当 小丑 你 说 讲 分离 我 还 说 这 电影 讲 的 是 新 怪谈 呢 那 确实 是 可以 神神 叨叨 不 需要 任何 情感 铺垫 的
回复 :感觉你可以多看一点深海的解读首先结局就是一个开放式结局而且导演更倾向的是双死的结局某种意义上我觉得也挺虚无主义的如果只是普通观众看个乐呵当然无所谓但你的评价中踩一捧一有点太严重了当然如果你本人没有这个意思可能是我误会了在对深海有很多误解的情况下作出这种评价有失公允,回复 : 感觉 你 可以 多 看 一点 深海 的 解读 首先 结局 就是 一个 开放式 结局 而且 导演 更 倾向 的 是 双死 的 结局 某种意义 上 我 觉得 也 挺 虚无主义 的 如果 只是 普通 观众 看个 乐 呵 当然 无所谓 但 你 的 评价 中 踩 一 捧 一 有点 太 严重 了 当然 如果 你 本人 没有 这个 意思 可能 是 我 误会 了 在 对 深海 有 很多 误解 的 情况 下 作出 这种 评价 有失公允
回复 :有的画面表现了很充分的情绪感觉你去感觉就能抓到我今天二刷虽然知道流程导致体验没有第一次冲击感强但是仍然可以从画面感受到情绪,回复 : 有 的 画面 表现 了 很 充分 的 情绪 感觉 你 去 感觉 就 能 抓 到 我 今天 二刷 虽然 知道 流程 导致 体验 没有 第一次 冲击 感强 但是 仍然 可以 从 画面感 受到 情绪
回复 :你用一个动画和海猫比剧情量和节奏都不一样动画有动画的表现形式深海是以情绪体验为主的动画属于新的表现形式两种表现形式都不一样你还拿来对比虚空锁敌了属于是,回复 : 你 用 一个 动画 和 海猫 比 剧情 量 和 节奏 都 不 一样 动画 有 动画 的 表现形式 深海 是 以 情绪 体验 为主 的 动画 属于 新 的 表现形式 两种 表现形式 都 不 一样 你 还 拿来 对比 虚空 锁敌 了 属于 是
